R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
D;Udogie;Udinese;14;13;1;14;13;1;42;42
D;Ebuehi;Empoli;14;3;11;14;3;11;12;12
D;Mazzocchi;Salernitana;14;7;7;14;7;7;28;28
D;Valeri;Cremonese;14;5;9;14;5;9;16;16
D;Rrahmani;Napoli;13;14;-1;13;14;-1;44;44
D;Zanoli;Sampdoria;13;3;10;13;3;10;20;20
D;Doig;Verona;13;6;7;13;6;7;24;26
D;Gosens;Inter;12;19;-7;12;18;-6;20;20
D;Buongiorno;Torino;12;4;8;12;5;7;36;40
D;Bremer;Juventus;12;18;-6;12;18;-6;55;55
D;Baschirotto;Lecce;12;2;10;12;2;10;34;39
D;Schuurs;Torino;12;9;3;12;9;3;51;51
D;Spinazzola;Roma;11;12;-1;11;13;-2;25;26
D;Mancini;Roma;11;10;1;11;10;1;29;30
D;Tomori;Milan;11;15;-4;11;15;-4;43;43
D;Parisi;Empoli;11;8;3;11;8;3;27;26
D;Olivera;Napoli;11;7;4;11;7;4;22;22
D;Hysaj;Lazio;10;6;4;10;6;4;20;23
D;Biraghi;Fiorentina;10;13;-3;10;13;-3;33;33
D;Luperto;Empoli;10;5;5;10;6;4;22;24
D;Toloi;Atalanta;10;8;2;10;8;2;12;12
D;Bastoni;Inter;10;15;-5;10;15;-5;32;32
D;Depaoli;Verona;10;4;6;10;4;6;10;10
D;Darmian;Inter;10;9;1;11;8;3;18;17
D;Augello;Sampdoria;10;7;3;10;7;3;17;17
D;Bastoni S.;Spezia;10;12;-2;10;13;-3;14;18
D;Maehle;Atalanta;10;8;2;10;7;3;18;17
D;Casale;Lazio;10;9;1;10;10;0;27;30
D;Dumfries;Inter;10;20;-10;10;19;-9;14;14
D;Scalvini;Atalanta;10;6;4;10;6;4;23;23
D;Perez N.;Udinese;10;8;2;10;8;2;15;16
D;Bijol;Udinese;10;5;5;10;5;5;33;33
D;Mario Rui;Napoli;9;9;0;9;9;0;27;27
D;Acerbi;Inter;9;8;1;9;8;1;22;22
D;Faraoni;Verona;9;13;-4;9;13;-4;21;21
D;Milenkovic;Fiorentina;9;11;-2;9;12;-3;16;19
D;Rodriguez R.;Torino;9;7;2;9;8;1;22;25
D;Reca;Spezia;9;5;4;9;5;4;14;14
D;Kyriakopoulos;Bologna;9;6;3;9;6;3;12;12
D;Singo;Torino;9;14;-5;9;13;-4;20;20
D;Mari';Monza;9;11;-2;9;11;-2;18;18
D;Cambiaso;Bologna;9;9;0;9;10;-1;12;12
D;Dodo';Fiorentina;9;14;-5;9;14;-5;32;32
D;Masina;Udinese;8;6;2;8;7;1;6;6
D;Izzo;Monza;8;3;5;8;3;5;21;21
D;Calabria;Milan;8;13;-5;8;13;-5;38;38
D;Skriniar;Inter;8;17;-9;8;16;-8;5;5
D;Sernicola;Cremonese;8;3;5;8;4;4;12;16
D;Terzic;Fiorentina;8;2;6;8;2;6;7;7
D;Rodrigo Becao;Udinese;8;10;-2;8;10;-2;24;24
D;Pirola;Salernitana;8;4;4;8;4;4;12;12
D;Caldirola;Monza;8;4;4;8;4;4;8;9
D;Juan Jesus;Napoli;7;7;0;7;7;0;8;8
D;Bonucci;Juventus;7;15;-8;7;15;-8;10;10
D;De Vrij;Inter;7;10;-3;7;10;-3;12;12
D;Djimsiti;Atalanta;7;7;0;7;7;0;12;12
D;Marusic;Lazio;7;7;0;8;8;0;18;21
D;Djidji;Torino;7;5;2;7;6;1;8;8
D;Ibanez;Roma;7;9;-2;7;9;-2;12;12
D;Kalulu;Milan;7;14;-7;7;15;-8;18;20
D;Vojvoda;Torino;7;9;-2;7;9;-2;9;8
D;Llorente D.;Roma;7;8;-1;7;8;-1;10;10
D;Martinez Quarta;Fiorentina;7;4;3;7;4;3;13;13
D;Gendrey;Lecce;7;4;3;7;4;3;10;12
D;Hien;Verona;7;6;1;7;6;1;18;18
